name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
A&A Transmission Corp.,Evanston,IL,1322 Dodge Avenue,60201,+1-847-492-1194,,,,N/A,No website,Establish a strong online presence for A&A Transmission Corp. with a professional website that showcases expertise and services.,osm
Midas,Evanston,IL,2410 Dempster Street,60202,,,,,N/A,No website,"Transform your reputation with a website that shines, just like Midas' gold, in Evanston, IL.",osm
Speedline Auto Service,Chicago,,,,,,,,N/A,No website,Speed up your business with a website that gets Chicago drivers in the Fast Lane to your service.,osm
Julio's Auto Parts,Chicago,IL,3000 West Diversey Parkway,60618,,,,,N/A,No website,"Elevate Julio's Auto Parts online presence and reach a wider Chicago audience with a modern, easy-to-use website.",osm
Luis & Son,Chicago,,,,,,,,N/A,No website,Get found in Chicago's competitive market with a custom website that showcases Luis & Son's unique story.,osm
Damen Auto Repair,Chicago,,,,,,,,N/A,No website,"Bring Damen Auto Repair online and attract new customers with a modern, user-friendly website.",osm
Logan Square Auto Repair,Chicago,,,,,,,,N/A,No website,"Get found, grow trust, and drive more customers to Logan Square Auto Repair with a professional online presence.",osm
Fasttrack Auto Center,Chicago,,,,,,,,N/A,No website,Establish a strong online presence for Fasttrack Auto Center to engage Chicago customers and drive sales.,osm
Tire Shop,Chicago,,,,,,,,N/A,No website,Get your wheels rolling online with a custom website showcasing your tire shop's expertise in Chicago.,osm
O'Reilly Auto Parts,Chicago,,,,,,,,N/A,No website,Give Chicago car owners a one-stop shop online by building a user-friendly O'Reilly Auto Parts website.,osm
Four Star Auto Mania,Chicago,,,,,,,,N/A,No website,Elevate Four Star Auto Mania's visibility and customer reach with a professional and user-friendly website.,osm
Portage Auto Parts,Chicago,,,,,,,,N/A,No website,Create a website for Portage Auto Parts to establish online presence and attract local customers in Chicago.,osm
M&R Auto Body,Chicago,,,,,,,,N/A,No website,"Get your Chicago business online, drive more customers to M&R Auto Body with a professional website today.",osm
Nortown,Chicago,IL,1301 West North Avenue,60642,,,,,N/A,No website,"Elevate Nortown's visibility in Chicago with a modern website, showcasing community spirit and local character.",osm
Chicago Auto Repair Service Inc.,Chicago,IL,1710 West Chicago Avenue,60622,,,,,N/A,No website,"Get your Chicago Auto Repair Service Inc. noticed and grow your customer base with a modern, user-friendly website.",osm
Snowman Auto,Chicago,,,,,,,,N/A,No website,"Give Snowman Auto a digital face in Chicago, making it easier for customers to find and trust them.",osm
Benny's Tire Service,Chicago,,,,,,,,N/A,No website,Elevate Benny's Tire Service in Chicago with a vibrant online presence that's as reliable as your tires.,osm
Alba Auto Service,Chicago,IL,4886 North Clark Street,60640,,,,,N/A,No website,"Help Alba Auto Service shine in Chicago with a clean, accessible website that showcases their expert car repair services.",osm
Al-Medina Auto Repair and Body Shop,Chicago,IL,4876 North Clark Street,60640,,,,,N/A,No website,Establish a strong online presence to attract new customers and increase visibility for Al-Medina Auto Repair and Body Shop.,osm
NAPA Auto Parts,Skokie,IL,7524 Saint Louis Avenue,60076,,,,,N/A,No website,Get back on the road with a professional online presence that showcases NAPA's vast auto parts inventory.,osm
Rivian Service Center,Chicago,IL,2033 West Walnut Street,60612,,,,,N/A,No website,Create a Rivian Service Center website to educate and empower Chicago customers with seamless service experiences.,osm
Casa Caidas,Chicago,,,,,,,,N/A,No website,"Elevate your Chicago presence, Casa Caidas, with a website that showcases your unique Latin-inspired culinary experiences.",osm
Goodyear,Chicago,IL,1301 West North Avenue,60642,,,,,N/A,No website,"Create a digital hub for Goodyear Chicago, connecting customers to services and showcasing community involvement.",osm
Grandpa's Garage Auto Repair,Chicago,,,,,,,,N/A,No website,"Get a website that fixes your online presence, just like we fix your car at Grandpa's Garage.",osm
Hawk Motors,Chicago,,4080 North Broadway,,+1 773-248-1200,,,,N/A,No website,Give Hawk Motors a digital edge in Chicago by launching a user-friendly website that drives sales.,osm
I & C Auto Repair,Chicago,IL,3454 North Sheffield Avenue,60657,+1 773-549-8254,,,,N/A,No website,Get found in Chicago: establish a strong online presence for I & C Auto Repair with a professional website.,osm
Tony's Auto Center,Chicago,IL,2701 South Halsted Street,60608,,,,,N/A,No website,"Get found online, boost sales, and establish credibility with a professional website for Tony's Auto Center.",osm
Sun Auto Werks,Chicago,IL,4430 West Lawrence Avenue,60630,+1 773 205 9990,,,,N/A,No website,"Build a website that showcases Sun Auto Werks' expertise and services, connecting customers to top-notch auto repairs in Chicago.",osm
Douglas Truck Parts,Chicago,IL,1640 South State Street,60616,,,,,N/A,No website,"Get your trucks back on the road with Douglas Truck Parts' online home, delivering parts and expertise to Chicago.",osm
Gerber Collision & Glass,Chicago,IL,3029 North Kedzie Avenue,60618,,,,,N/A,No website,Get seen in Chicago: build a website that showcases Gerber Collision & Glass's expert auto repair services.,osm
Genesis Auto Supply,Chicago,,,,,,,,N/A,No website,"Give Chicago's Genesis Auto Supply a digital home, connecting customers to quality automotive parts and expert service.",osm
AUTOHaus,Chicago,,,,,,,,N/A,No website,Bring AUTOHaus to life with a modern website showcasing your luxury automotive services in Chicago.,osm
Caliber Collision,Chicago,IL,318 South Morgan Street,60607,,,,,N/A,No website,"Elevate visibility and attract Chicago drivers with a modern, user-friendly website for Caliber Collision.",osm
Nunez Auto Repair Shop,Chicago,,,,,,,,N/A,No website,Get online with Nunez Auto Repair Shop and attract more customers in Chicago today.,osm
Robbin's,Chicago,,,,,,,,N/A,No website,Help Robbin's Chicago storefront thrive by creating an online presence and boosting local web visibility.,osm
Ramirez Auto Parts & Repair,Chicago,,,,,,,,N/A,No website,"Get online, grow sales and build trust with a website that showcases your expert auto services.",osm
King Auto Repair & Body Shop,Chicago,,,,,,,,N/A,No website,Get discovered by Chicago drivers: launch a website showcasing King Auto Repair & Body Shop's trusted services.,osm
Hernandez Auto Repair,Chicago,,,,,,,,N/A,No website,"Hernandez Auto Repair, we'll help you shine in Chicago with a website that showcases your expertise and builds trust.",osm
Lakeside International Auto Service,Chicago,,,,,,,,N/A,No website,Lakeside International Auto Service needs a website to shine in Chicago's competitive market and attract new customers.,osm
Ashland Tire & Auto Clinic,Chicago,,,,,,,,N/A,No website,Help Ashland Tire & Auto Clinic in Chicago shine online with a website that showcases its expertise.,osm
Tiger's Body Shop,Chicago,,,,,,,,N/A,No website,"Get online, grow local: a website for Tiger's Body Shop in Chicago will drive more customers.",osm
Clark Tire Service,Chicago,,,,,,,,N/A,No website,We'll create a user-friendly website for Clark Tire Service in Chicago to showcase services and attract new customers.,osm
Milito's Auto Repair,Chicago,,,,,,,,N/A,No website,Get your car back on the road with Milito's Auto Repair - expert service in the heart of Chicago.,osm
U-Pick-A-Tire Store,Chicago,,,,,,,,N/A,No website,Help U-Pick-A-Tire Store in Chicago roll out their brand online and drive more customers to the store.,osm
Reliable Auto Repair Center,Chicago,,,,,,,,N/A,No website,Get found online and drive more customers to Reliable Auto Repair Center with a professional Chicago website.,osm
Ogden Automotive,Chicago,IL,1343 West Hubbard Street,60642,,,,,N/A,No website,"Get found by Chicago car owners, increase sales, and build trust with a modern Ogden Automotive website.",osm
Tuffy,Chicago,IL,1400 West Diversey Parkway,60657,,,,,N/A,No website,Get found online and boost business: Tuffy in Chicago needs a website that showcases its auto repair expertise.,osm
BP Service Station,Evanston,IL,555 Howard Street,60202,,,,,N/A,No website,"Create a user-friendly online presence for BP Service Station, connecting locals to essential services and fuel options.",osm
Mike’s Total Auto Repairs,Chicago,IL,2256 West Birchwood Avenue,60645,,,,,N/A,No website,Drive more customers to Mike's Total Auto Repairs with a professional website showcasing services and expertise.,osm
Western Auto Repair,Chicago,IL,7400 North Western Avenue,60645,,,,,N/A,No website,Get noticed in Chicago's competitive auto repair market with a professional website showcasing your expertise and services.,osm
Premier Motors,Evanston,IL,2494 Oakton Street,60202,,,,,N/A,No website,"Launch a user-friendly website for Premier Motors, showcasing inventory, services, and community involvement in Evanston, IL.",osm
Ninos Auto Repair,Evanston,IL,500 Dodge Avenue,60202,,,,,N/A,No website,"Ninos Auto Repair in Evanston, IL needs a website to attract new customers and build trust in the community.",osm
GMC & BMW Auto Repairs,Chicago,IL,7300 North Bell Avenue,60645,,,,,N/A,No website,Get back on the road with a website that showcases GMC & BMW expertise in Chicago.,osm
Cermak Auto Center,Chicago,,,,,,,,N/A,No website,Elevate your Chicago presence and capture local customers with a modern Cermak Auto Center website.,osm
A-PLUS CLEANING & MAINTANANCE,Chicago,IL,1009 N HUMPHREY,60302,,,,,N/A,No website,"Transform your cleaning business with a professional online presence, reaching more Chicago customers with A-PLUS CLEANING & MAINTENANCE website.",citydata-chicago
"Calumet City Plumbing & Heating Co., Inc.",Chicago,IL,645  STATE ST,60409,,,,,N/A,No website,"Establish a strong online presence to attract new customers and grow Calumet City Plumbing & Heating Co., Inc.",citydata-chicago
B.D.C. GROUP,Chicago,IL,2025  ASHLAND AVE 1ST,60201,,,,,N/A,No website,"Establish a professional online presence for B.D.C. GROUP in Chicago, showcasing services and expertise to attract new clients.",citydata-chicago
MAR BENZ CONSULTING,Chicago,IL,10403  DEARLOVE RD 2ND,60025,,,,,N/A,No website,Establish a strong online presence with a custom website for MAR BENZ CONSULTING in Chicago.,citydata-chicago
PETRAS SIMKUS,Chicago,IL,10612  RIDGEMONT LN  2S,60415,,,,,N/A,No website,"Establish a strong online presence with a modern, responsive website that showcases your Chicago-based design expertise.",citydata-chicago
R B SREMODELING SERVICES,Chicago,IL,1062 S YORK RD  10,60106,,,,,N/A,No website,Transform your business with a stunning website and showcase your expertise in Chicago's competitive remodeling market.,citydata-chicago
"ABAT BUILDERS, INC.",Chicago,IL,10700 N HIGGINS RD 3RD 350,60018,,,,,N/A,No website,"Build your brand, build your business - bring ABAT Builders, Inc. online with a stunning website today.",citydata-chicago
BRENDAN JOSEPH BROWN,Chicago,IL,10832 SW BERRYTON RD,66409,,,,,N/A,No website,Brendan Joseph Brown needs a website that showcases his work and tells his story to Chicago clients.,citydata-chicago
EVERGREEN DOOR & WINDOW,Chicago,IL,3800 W 95TH ST,60805,,,,,N/A,No website,Help EVERGREEN DOOR & WINDOW shine in Chicago with a modern website that opens doors to new customers.,citydata-chicago
ROBERTO ACEVEDO,Chicago,IL,2219 S 59TH AVE,60804,,,,,N/A,No website,Establish a strong online presence with a professional website for Roberto Acevedo in Chicago.,citydata-chicago
The Luse Companies,Chicago,IL,3990  ENTERPRISE CT,60504,,,,,N/A,No website,Establish a strong online presence for The Luse Companies and elevate its reputation in the Chicago market.,citydata-chicago
