name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Law Office of Linda Olmstead,Jamaica Plain,MA,84 South Street,02130,+1-617 524-2821,,,,N/A,No website,,osm
Individual Practices of Law,Boston,,,,,,,,N/A,No website,,osm
Paul F. Murphy Attorney at Law,Boston,,8 Thomas Street,,,,,,N/A,No website,,osm
"Tetzel Law, LLC",Boston,MA,2 Center Plaza,02108,,,,,N/A,No website,,osm
Goulston & Storrs PC,Boston,,,,,,,,N/A,No website,,osm
Law Offices of Frank J. Cliano,Boston,,,,,,,,N/A,No website,,osm
"Ellen Sullivan, P.C.",Boston,,,,,,,,N/A,No website,,osm
Peter Georgiou,Cambridge,MA,2285 Massachusetts Avenue,02140,+1 617 547 9600,,,,N/A,No website,,osm
Bob Sweeney,Cambridge,MA,Cambridge Street,,+1 781 526 9440,,,,N/A,No website,,osm
Walsh and Walsh Law Offices,Boston,,655 Somerville Avenue,,,,,,N/A,No website,,osm
Robert A. Indresano,Boston,,,,,,,,N/A,No website,,osm
Law Office of Robert M. Josephs,Jamaica Plain,MA,84 South Street,02130,+1-617-522-3200,,,,N/A,No website,,osm
Galluccio & Watson,Boston,,,,,,,,N/A,No website,,osm
"Cohn Legal, PLLC",Boston,,,,,,,,N/A,No website,,osm
Frank D. Privitera Jr.,Boston,,,,,,,,N/A,No website,,osm
