name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Dr. Erika N. Bethune,Tampa,,,,,,,,N/A,No website,,osm
"Jeri A Norman, DO",Tampa,,,,,,,,N/A,No website,,osm
Hoffman Chiropractic Centre,Tampa,,,,,,,,N/A,No website,,osm
Stangherlin Chropractic Clinic,Tampa,,8834 North 56th Street,,,,,,N/A,No website,,osm
Essentials Massage & Facials,Tampa,,,,,,,,N/A,No website,,osm
Gulf Coast Injury Center,Tampa,FL,1104 West Kennedy Boulevard,33606,,,,,N/A,No website,,osm
Navigate Chiropractic,Tampa,FL,11669 West Hillsborough Avenue,33635,,,,,N/A,No website,,osm
Zenxing Massage,Tampa,,,,,,,,N/A,No website,,osm
Eastyle Healthy Life Spa,Tampa,FL,5135 West Cypress Street,33607,+1-580-660-5066,,,,N/A,No website,,osm
Yokohama,Tampa,,,,,,,,N/A,No website,,osm
Signature Massage & Facial Spa,Tampa,,,,,,,,N/A,No website,,osm
"Active Family Chiropractic, P.A.",Tampa,,,,,,,,N/A,No website,,osm
Body Work Massage Therapy,Tampa,,,,,,,,N/A,No website,,osm
Docs Outside The Box,Tampa,,,,,,,,N/A,No website,,osm
