name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Family Pet Animal Hospital,Chicago,,,,,,,,N/A,No website,,osm
Animal 911,Skokie,IL,Dempster Street,60076,,,,,N/A,No website,,osm
VCA Animal Hospital,Chicago,IL,2851 West Irving Park Road,60618,,,,,N/A,No website,,osm
Logan Square Animal Hospital,Chicago,IL,2543 North Milwaukee Avenue,60647,,,,,N/A,No website,,osm
Wicker Park Veterinary Clinic,Chicago,,,,,,,,N/A,No website,,osm
Pets First,Chicago,,,,,,,,N/A,No website,,osm
MedVet Chicago,Chicago,IL,3305 North California Avenue,60618,,,,,N/A,No website,,osm
Oz Animal Hospital,Chicago,IL,620 West Webster Avenue,60614,,,,,N/A,No website,,osm
Veterinary Emergency Group,Chicago,,755 West North Avenue,,,,,,N/A,No website,,osm
Ellis Veterinary Clinic,Chicago,,,,,,,,N/A,No website,,osm
GoodVets,Chicago,IL,901 West Jackson Boulevard,60607,,,,,N/A,No website,,osm
Bronzeville Animal Clinic,Chicago,IL,203 East 31st Street,60616,,,,,N/A,No website,,osm
Bond Vet,Chicago,,,,,,,,N/A,No website,,osm
Animal Advocate Pet Hospital,Chicago,,1061 West Jackson Boulevard,,,,,,N/A,No website,,osm
Lovet Pet Health Care,Chicago,,802 West Fulton Market,,,,,,N/A,No website,,osm
Metropolitan Veterinary Clinic,Chicago,IL,1556 South Michigan Avenue,60605,,,,,N/A,No website,,osm
Chicago Exotics Animal Hospital,Skokie,IL,3757 Dempster Street,60076,,,,,N/A,No website,,osm
VSx Veterinary Surgery,Chicago,IL,2015-2025 West Irving Park Road,60618,,,,,N/A,No website,,osm
Precious Bond Animal Hospital,Chicago,,3901 North Lincoln Avenue,,,,,,N/A,No website,,osm
North Center Animal Hospital,Chicago,,1800-1808 West Addison Street,,,,,,N/A,No website,,osm
Boulevard Veterinary,Chicago,,,,,,,,N/A,No website,,osm
A-PLUS CLEANING & MAINTANANCE,Chicago,IL,1009 N HUMPHREY,60302,,,,,N/A,No website,,citydata-chicago
"Calumet City Plumbing & Heating Co., Inc.",Chicago,IL,645  STATE ST,60409,,,,,N/A,No website,,citydata-chicago
B.D.C. GROUP,Chicago,IL,2025  ASHLAND AVE 1ST,60201,,,,,N/A,No website,,citydata-chicago
MAR BENZ CONSULTING,Chicago,IL,10403  DEARLOVE RD 2ND,60025,,,,,N/A,No website,,citydata-chicago
PETRAS SIMKUS,Chicago,IL,10612  RIDGEMONT LN  2S,60415,,,,,N/A,No website,,citydata-chicago
R B SREMODELING SERVICES,Chicago,IL,1062 S YORK RD  10,60106,,,,,N/A,No website,,citydata-chicago
"ABAT BUILDERS, INC.",Chicago,IL,10700 N HIGGINS RD 3RD 350,60018,,,,,N/A,No website,,citydata-chicago
BRENDAN JOSEPH BROWN,Chicago,IL,10832 SW BERRYTON RD,66409,,,,,N/A,No website,,citydata-chicago
EVERGREEN DOOR & WINDOW,Chicago,IL,3800 W 95TH ST,60805,,,,,N/A,No website,,citydata-chicago
ROBERTO ACEVEDO,Chicago,IL,2219 S 59TH AVE,60804,,,,,N/A,No website,,citydata-chicago
The Luse Companies,Chicago,IL,3990  ENTERPRISE CT,60504,,,,,N/A,No website,,citydata-chicago
